filename,caption
scene-0001_0.mp4,"A realistic driving scene, during day light, in an urban environment."
scene-0001_1.mp4,"A realistic driving scene, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_10.mp4,A realistic driving scene.
scene-0001_11.mp4,"A realistic driving scene, during day light, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_12.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road, in an urban environment."
scene-0001_13.mp4,A realistic driving scene.
scene-0001_14.mp4,A realistic driving scene.
scene-0001_15.mp4,"A realistic driving scene, during day light, in clear weather, in an urban environment."
scene-0001_16.mp4,"A realistic driving scene, during day light, on a dry asphalt road, with moderate traffic."
scene-0001_17.mp4,"A realistic driving scene, on a dry asphalt road."
scene-0001_18.mp4,"A realistic driving scene, in clear weather, in an urban environment, with moderate traffic."
scene-0001_19.mp4,A realistic driving scene.
scene-0001_2.mp4,A realistic driving scene.
scene-0001_20.mp4,A realistic driving scene.
scene-0001_21.mp4,"A realistic driving scene, during day light, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_22.mp4,"A realistic driving scene, during day light, in clear weather, on a dry asphalt road, in an urban environment."
scene-0001_23.mp4,"A realistic driving scene, in clear weather."
scene-0001_24.mp4,"A realistic driving scene, during day light, in an urban environment, with moderate traffic."
scene-0001_25.mp4,"A realistic driving scene, during day light, in clear weather, on a dry asphalt road, in an urban environment."
scene-0001_26.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_27.mp4,"A realistic driving scene, during day light, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_28.mp4,"A realistic driving scene, in clear weather, in an urban environment, with moderate traffic."
scene-0001_3.mp4,A realistic driving scene.
scene-0001_4.mp4,"A realistic driving scene, on a dry asphalt road, with moderate traffic."
scene-0001_5.mp4,A realistic driving scene.
scene-0001_6.mp4,A realistic driving scene.
scene-0001_7.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0001_8.mp4,A realistic driving scene.
scene-0001_9.mp4,"A realistic driving scene, during day light, in clear weather, with moderate traffic."
scene-0002_0.mp4,A realistic driving scene.
scene-0002_1.mp4,A realistic driving scene.
scene-0002_10.mp4,"A realistic driving scene, in an urban environment, with moderate traffic."
scene-0002_11.mp4,A realistic driving scene.
scene-0002_12.mp4,A realistic driving scene.
scene-0002_13.mp4,A realistic driving scene.
scene-0002_14.mp4,A realistic driving scene.
scene-0002_15.mp4,A realistic driving scene.
scene-0002_16.mp4,"A realistic driving scene, on a dry asphalt road."
scene-0002_17.mp4,"A realistic driving scene, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0002_18.mp4,A realistic driving scene.
scene-0002_19.mp4,"A realistic driving scene, during day light, on a dry asphalt road, in an urban environment."
scene-0002_2.mp4,A realistic driving scene.
scene-0002_20.mp4,"A realistic driving scene, with moderate traffic."
scene-0002_21.mp4,"A realistic driving scene, on a dry asphalt road, with moderate traffic."
scene-0002_22.mp4,A realistic driving scene.
scene-0002_23.mp4,"A realistic driving scene, with moderate traffic."
scene-0002_24.mp4,A realistic driving scene.
scene-0002_25.mp4,A realistic driving scene.
scene-0002_26.mp4,A realistic driving scene.
scene-0002_27.mp4,"A realistic driving scene, during day light, in clear weather, on a dry asphalt road."
scene-0002_28.mp4,"A realistic driving scene, with moderate traffic."
scene-0002_3.mp4,A realistic driving scene.
scene-0002_4.mp4,"A realistic driving scene, during day light, in an urban environment."
scene-0002_5.mp4,"A realistic driving scene, with moderate traffic."
scene-0002_6.mp4,A realistic driving scene.
scene-0002_7.mp4,"A realistic driving scene, during day light, in clear weather."
scene-0002_8.mp4,"A realistic driving scene, during day light, in clear weather, in an urban environment, with moderate traffic."
scene-0002_9.mp4,A realistic driving scene.
scene-0003_0.mp4,"A realistic driving scene, during day light, on a dry asphalt road."
scene-0003_1.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road."
scene-0003_10.mp4,"A realistic driving scene, during day light, on a dry asphalt road, with moderate traffic."
scene-0003_11.mp4,A realistic driving scene.
scene-0003_12.mp4,A realistic driving scene.
scene-0003_13.mp4,A realistic driving scene.
scene-0003_14.mp4,A realistic driving scene.
scene-0003_15.mp4,"A realistic driving scene, during day light, on a dry asphalt road, in an urban environment."
scene-0003_16.mp4,"A realistic driving scene, in an urban environment, with moderate traffic."
scene-0003_17.mp4,"A realistic driving scene, during day light, in clear weather, in an urban environment, with moderate traffic."
scene-0003_18.mp4,"A realistic driving scene, during day light, in clear weather, on a dry asphalt road, with moderate traffic."
scene-0003_19.mp4,A realistic driving scene.
scene-0003_2.mp4,"A realistic driving scene, in an urban environment, with moderate traffic."
scene-0003_20.mp4,A realistic driving scene.
scene-0003_21.mp4,"A realistic driving scene, on a dry asphalt road."
scene-0003_22.mp4,A realistic driving scene.
scene-0003_23.mp4,A realistic driving scene.
scene-0003_24.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road."
scene-0003_25.mp4,"A realistic driving scene, on a dry asphalt road, in an urban environment, with moderate traffic."
scene-0003_26.mp4,"A realistic driving scene, in clear weather, on a dry asphalt road."
scene-0003_27.mp4,"A realistic driving scene, in an urban environment."
scene-0003_3.mp4,A realistic driving scene.
scene-0003_4.mp4,"A realistic driving scene, during day light, in an urban environment."
scene-0003_5.mp4,"A realistic driving scene, in an urban environment, with moderate traffic."
scene-0003_6.mp4,"A realistic driving scene, in clear weather."
scene-0003_7.mp4,A realistic driving scene.
scene-0003_8.mp4,"A realistic driving scene, with moderate traffic."
